"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"1830",1994,"1994-10-07","Only You","TriStar Pictures","USA","PG","Comedy",0,20042048,0,33269799.68,33269799.68,115,16746,6.5,"Norman Jewison","Marisa Tomei","Diane Drake"
"1831",1994,"1994-02-11","My Girl 2","Imagine Films Entertainment","USA","PG","Comedy",0,17359799,0,28817266.34,28817266.34,99,15940,5.2,"Howard Zieff","Dan Aykroyd","Laurice Elehwany"
"1832",1994,"1994-11-18","The Swan Princess","Nest Family Entertainment","USA","G","Animation",2e+07,9771658,33200000,16220952.28,-16979047.72,100,18972,6.4,"Richard Rich","Jack Palance","Richard Rich"
"1833",1994,"1994-03-30","Major League II","Warner Bros.","USA","PG","Comedy",0,30626182,0,50839462.12,50839462.12,105,21665,5.5,"David S. Ward","Charlie Sheen","David S. Ward"
"1834",1994,"1994-03-23","Above the Rim","New Line Cinema","USA","R","Crime",3500000,16036534,5810000,26620646.44,20810646.44,96,11508,6.6,"Jeff Pollack","Duane Martin","Jeff Pollack"
"1835",1994,"1994-02-11","The Getaway","Universal Pictures","USA","R","Action",0,16096000,0,26719360,26719360,115,14913,5.7,"Roger Donaldson","Alec Baldwin","Jim Thompson"
"1836",1994,"1994-07-29","It Could Happen to You","TriStar Pictures","USA","PG","Comedy",0,37800323,0,62748536.18,62748536.18,101,29594,6.3,"Andrew Bergman","Nicolas Cage","Jane Anderson"
"1837",1994,"1995-01-27","Immortal Beloved","Icon Entertainment International","UK","R","Biography",0,9914409,0,16457918.94,16457918.94,121,20038,7.5,"Bernard Rose","Gary Oldman","Bernard Rose"
"1838",1994,"1994-12-25","Ready to Wear","Etalon Film","USA","R","Comedy",1.8e+07,11300653,29880000,18759083.98,-11120916.02,133,12985,5,"Robert Altman","Sophia Loren","Robert Altman"
"1839",1994,"1994-10-26","The Last Seduction","Incorporated Television Company (ITC)","UK","R","Crime",2500000,6138485,4150000,10189885.1,6039885.1,110,17307,7.1,"John Dahl","Linda Fiorentino","Steve Barancik"
"1840",1994,"1994-05-13","When a Man Loves a Woman","Touchstone Pictures","USA","R","Drama",0,50021959,0,83036451.94,83036451.94,126,17718,6.5,"Luis Mandoki","Meg Ryan","Ronald Bass"
"1841",1994,"1995-03-24","Exótica","Alliance Entertainment","Canada","R","Drama",0,4183379,0,6944409.14,6944409.14,103,15366,7.2,"Atom Egoyan","Bruce Greenwood","Atom Egoyan"
"1842",1994,"1994-02-18","On Deadly Ground","Seagal/Nasso Productions","USA","R","Action",5e+07,38590500,8.3e+07,64060230,-18939770,101,19210,4.4,"Steven Seagal","Steven Seagal","Ed Horowitz"
"1843",1994,"1994-10-14","Exit to Eden","Savoy Pictures","USA","R","Comedy",2.5e+07,6841570,41500000,11357006.2,-30142993.8,113,5798,4.1,"Garry Marshall","Dana Delany","Anne Rice"
"1844",1994,"1994-04-08","Threesome","Motion Picture Corporation of America (MPCA)","USA","R","Comedy",0,14815000,0,24592900,24592900,89,11407,6.2,"Andrew Fleming","Lara Flynn Boyle","Andrew Fleming"
"1845",1994,"1994-04-15","Surviving the Game","New Line Cinema","USA","R","Action",7400000,7690013,12284000,12765421.58,481421.58,96,8846,6.1,"Ernest R. Dickerson","Rutger Hauer","Eric Bernt"
"1846",1994,"1995-02-10","Shallow Grave","Channel Four Films","UK","R","Crime",2500000,2881508,4150000,4783303.28,633303.279999999,89,49100,7.3,"Danny Boyle","Kerry Fox","John Hodge"
"1847",1994,"1994-05-13","Crooklyn","Universal Pictures","USA","PG-13","Comedy",1.4e+07,13640000,23240000,22642400,-597600,115,6583,6.9,"Spike Lee","Alfre Woodard","Cinqué Lee"
"1848",1994,"1994-09-16","Blue Sky","Heathrow Productions","USA","PG-13","Drama",1.6e+07,3359465,26560000,5576711.9,-20983288.1,101,5683,6.4,"Tony Richardson","Jessica Lange","Rama Laurie Stagner"
"1849",1994,"1994-09-09","The Next Karate Kid","Columbia Pictures Corporation","USA","PG","Action",1.2e+07,8914777,19920000,14798529.82,-5121470.18,107,20024,4.3,"Christopher Cain","Pat Morita","Robert Mark Kamen"
"1850",1994,"1994-07-01","Blown Away","Metro-Goldwyn-Mayer (MGM)","USA","R","Action",5e+07,30155037,8.3e+07,50057361.42,-32942638.58,121,24421,6.2,"Stephen Hopkins","Jeff Bridges","John Rice"
"1851",1994,"1994-10-21","The Puppet Masters","Hollywood Pictures","USA","R","Horror",0,8638072,0,14339199.52,14339199.52,109,7281,5.9,"Stuart Orme","Donald Sutherland","Robert A. Heinlein"
"1852",1994,"1994-03-30","Pulgarcita","Don Bluth","Ireland","G","Animation",2.8e+07,11373501,46480000,18880011.66,-27599988.34,100,12483,6.4,"Don Bluth","Jodi Benson","Hans Christian Andersen"
"1853",1994,"1994-11-18","Miracle on 34th Street","Twentieth Century Fox Film Corporation","USA","PG","Family",0,17193886,0,28541850.76,28541850.76,114,24126,6.4,"Les Mayfield","Richard Attenborough","Valentine Davies"
"1854",1994,"1994-07-01","The Shadow","Universal Pictures","USA","PG-13","Action",2.5e+07,32055248,41500000,53211711.68,11711711.68,108,19958,6,"Russell Mulcahy","Alec Baldwin","Walter B. Gibson"
"1855",1994,"1994-04-22","Chasers","Morgan Creek Productions","USA","R","Comedy",0,1596700,0,2650522,2650522,102,4804,5,"Dennis Hopper","Tom Berenger","Joe Batteer"
"1856",1994,"1994-12-09","Queen Margot","Renn Productions","France","R","Biography",0,2017346,0,3348794.36,3348794.36,159,14377,7.5,"Patrice Chéreau","Isabelle Adjani","Alexandre Dumas"
"1857",1994,"1995-02-24","Bullets Over Broadway","Miramax","USA","R","Comedy",2e+07,13383737,33200000,22217003.42,-10982996.58,98,31237,7.5,"Woody Allen","John Cusack","Woody Allen"
"1858",1994,"1994-08-12","In the Army Now","Hollywood Pictures","USA","PG","Comedy",0,28864707,0,47915413.62,47915413.62,91,10622,4.8,"Daniel Petrie Jr.","Pauly Shore","Steve Zacharias"
"1859",1994,"1994-04-13","Serial Mom","Savoy Pictures","USA","R","Comedy",1.3e+07,7881335,21580000,13083016.1,-8496983.9,95,22529,6.7,"John Waters","Kathleen Turner","John Waters"
"1860",1994,"1994-06-10","Three Colors: White","MK2 Productions","Switzerland","R","Comedy",0,1464625,0,2431277.5,2431277.5,91,48877,7.7,"Krzysztof Kieslowski","Zbigniew Zamachowski","Krzysztof Kieslowski"
"1861",1994,"1994-07-29","Black Beauty","Warner Bros.","USA","G","Adventure",0,4630377,0,7686425.82,7686425.82,88,7810,6.6,"Caroline Thompson","Sean Bean","Anna Sewell"
"1862",1994,"1994-04-29","With Honors","Spring Creek Productions","USA","PG-13","Comedy",0,20043254,0,33271801.64,33271801.64,103,11565,6.7,"Alek Keshishian","Joe Pesci","William Mastrosimone"
"1863",1994,"1994-07-22","North","Castle Rock Entertainment","USA","PG","Adventure",4e+07,7138449,66400000,11849825.34,-54550174.66,87,11852,4.4,"Rob Reiner","Elijah Wood","Alan Zweibel"
"1864",1994,"1994-04-29","No Escape","Columbia Pictures Corporation","USA","R","Action",2e+07,15340000,33200000,25464400,-7735600,118,16576,6.1,"Martin Campbell","Ray Liotta","Richard Herley"
"1865",1994,"1994-11-04","The War","Island World","USA","PG-13","Drama",0,16551365,0,27475265.9,27475265.9,126,10752,6.7,"Jon Avnet","Elijah Wood","Kathy McWorter"
"1866",1994,"1996-03-22","Il Postino","Cecchi Gori Group Tiger Cinematografica","Italy","PG","Biography",3e+06,21848932,4980000,36269227.12,31289227.12,108,27999,7.7,"Michael Radford","Massimo Troisi","Antonio Skármeta"
"1867",1994,"1995-01-13","Nobody's Fool","Capella International","USA","R","Comedy",2e+07,39487686,33200000,65549558.76,32349558.76,110,15759,7.4,"Robert Benton","Paul Newman","Richard Russo"
"1868",1994,"1994-04-22","Brainscan","Admire Productions Ltd.","Canada","R","Comedy",0,4264509,0,7079084.94,7079084.94,96,8826,6.1,"John Flynn","Edward Furlong","Brian Owens"
"1869",1994,"1994-12-28","The Madness of King George","Samuel Goldwyn Company, The","UK","PG-13","Biography",0,15238994,0,25296730.04,25296730.04,104,12850,7.2,"Nicholas Hytner","Nigel Hawthorne","Alan Bennett"
"1870",1994,"1994-08-26","It's Pat: The Movie","Touchstone Pictures","USA","PG-13","Comedy",0,60822,0,100964.52,100964.52,77,8844,2.6,"Adam Bernstein","Julia Sweeney","Julia Sweeney"
"1871",1994,"1994-09-02","Fresh","Lumière Pictures","USA","R","Crime",3500000,8094616,5810000,13437062.56,7627062.56,114,10327,7.6,"Boaz Yakin","Sean Nelson","Boaz Yakin"
"1872",1994,"1994-08-31","Milk Money","Paramount Pictures","USA","PG-13","Comedy",0,18137661,0,30108517.26,30108517.26,110,9880,5.5,"Richard Benjamin","Melanie Griffith","John Mattson"
"1873",1994,"1994-08-17","Andre","Paramount Pictures","USA","PG","Adventure",0,16819465,0,27920311.9,27920311.9,100,5543,5.7,"George Miller","Tina Majorino","Harry Goodridge"
"1874",1994,"1994-10-28","The Road to Wellville","Beacon Communications","USA","R","Comedy",2.5e+07,6507514,41500000,10802473.24,-30697526.76,118,10226,5.8,"Alan Parker","Anthony Hopkins","T. Coraghessan Boyle"
"1875",1994,"1994-03-11","The Ref","Touchstone Pictures","USA","R","Comedy",1.1e+07,11439193,18260000,18989060.38,729060.379999999,96,20548,6.9,"Ted Demme","Denis Leary","Marie Weiss"
"1876",1994,"1994-02-25","8 Seconds","Jersey Films","USA","PG-13","Biography",7e+06,19604000,11620000,32542640,20922640,105,4037,6.5,"John G. Avildsen","Luke Perry","Monte Merrick"
"1878",1994,"1994-03-04","The Chase","Capitol Films","USA","PG-13","Action",0,8009329,0,13295486.14,13295486.14,100,15239,5.8,"Adam Rifkin","Charlie Sheen","Adam Rifkin"
"1879",1994,"1994-08-26","Police Academy: Mission to Moscow","Warner Bros.","USA","PG","Comedy",6200000,126247,10292000,209570.02,-10082429.98,83,26638,3.3,"Alan Metter","G.W. Bailey","Neal Israel"
"1880",1994,"1994-11-23","A Low Down Dirty Shame","Caravan Pictures","USA","R","Action",1e+07,29392418,16600000,48791413.88,32191413.88,100,4331,5.9,"Keenen Ivory Wayans","Keenen Ivory Wayans","Keenen Ivory Wayans"
"1881",1994,"1994-11-04","Double Dragon","Greenleaf Productions","USA","PG-13","Action",7850000,2341309,13031000,3886572.94,-9144427.06,96,9200,3.7,"James Yukich","Robert Patrick","Paul Dini"
"1883",1994,"1995-01-27","Death and the Maiden","Fine Line Features","UK","R","Drama",1.2e+07,2104000,19920000,3492640,-16427360,103,18786,7.3,"Roman Polanski","Sigourney Weaver","Ariel Dorfman"
"1884",1994,"1996-05-10","De amor y de sombras","Aleph Producciones S.A.","Argentina","R","Drama",0,19710,0,32718.6,32718.6,100,1592,5.1,"Betty Kaplan","Antonio Banderas","Isabel Allende"
"1885",1994,"1994-06-10","City Slickers II: The Legend of Curly's Gold","Castle Rock Entertainment","USA","PG-13","Comedy",4e+07,43622150,66400000,72412769,6012769,116,15982,5.5,"Paul Weiland","Billy Crystal","Lowell Ganz"
"1886",1994,"1994-12-25","I.Q.","Paramount Pictures","USA","PG","Comedy",2.5e+07,26372663,41500000,43778620.58,2278620.58,100,20930,6.2,"Fred Schepisi","Tim Robbins","Andy Breckman"
"1887",1994,"1994-04-01","Clifford","Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)","USA","PG","Comedy",1.9e+07,7411659,31540000,12303353.94,-19236646.06,90,5807,5.3,"Paul Flaherty","Martin Short","William Porter"
"1888",1994,"1994-10-07","A Troll in Central Park","Don Bluth","Ireland","G","Animation",0,71368,0,118470.88,118470.88,76,4914,5.4,"Don Bluth","Dom DeLuise","Stu Krieger"
"1889",1994,"1994-06-03","The Cowboy Way","Imagine Entertainment","USA","PG-13","Action",3.5e+07,20277185,58100000,33660127.1,-24439872.9,102,6634,5.8,"Gregg Champion","Woody Harrelson","Robert C. Thompson"
"1890",1994,"1994-03-04","Greedy","Imagine Entertainment","USA","PG-13","Comedy",0,13145977,0,21822321.82,21822321.82,113,11022,6.2,"Jonathan Lynn","Michael J. Fox","Lowell Ganz"
"1891",1994,"1994-06-29","Little Big League","Castle Rock Entertainment","USA","PG","Comedy",0,12211068,0,20270372.88,20270372.88,119,8249,6.1,"Andrew Scheinman","Luke Edwards","Gregory K. Pincus"
"1892",1994,"1994-05-06","3 Ninjas Kick Back","Ben-Ami/Leeds Productions","USA","PG","Family",2e+07,11784000,33200000,19561440,-13638560,93,7189,4.4,"Charles T. Kanganis","Victor Wong","Sang-ok Shin"
"1893",1994,"1994-12-21","Mixed Nuts","TriStar Pictures","USA","PG-13","Comedy",1.5e+07,6798240,24900000,11285078.4,-13614921.6,97,8563,5.4,"Nora Ephron","Steve Martin","Nora Ephron"
"1894",1994,"1995-04-21","Swimming with Sharks","Cineville","USA","R","Comedy",7e+05,376928,1162000,625700.48,-536299.52,93,20003,7.1,"George Huang","Kevin Spacey","George Huang"
"1895",1994,"1994-12-09","Drop Zone","Paramount Pictures","USA","R","Action",4.5e+07,28720380,74700000,47675830.8,-27024169.2,101,16774,5.6,"John Badham","Wesley Snipes","Tony Griffin"
"1896",1994,"1994-01-14","Death Wish V: The Face of Death","21st Century Film Corporation","USA","R","Action",5e+06,1702394,8300000,2825974.04,-5474025.96,95,5329,4.7,"Allan A. Goldstein","Charles Bronson","Brian Garfield"
"1897",1994,"1994-09-28","Jason's Lyric","Jackson/McHenry Company,The","USA","R","Crime",7e+06,20851521,11620000,34613524.86,22993524.86,120,2838,6.6,"Doug McHenry","Allen Payne","Bobby Smith Jr."
"1898",1994,"1994-01-21","Intersection","Paramount Pictures","USA","R","Drama",4.5e+07,20928892,74700000,34741960.72,-39958039.28,98,6432,5.2,"Mark Rydell","Richard Gere","David Rayfiel"
"1899",1994,"1994-03-18","Mi adorable delincuente","New Line Cinema","Japan","PG","Adventure",0,16344520,0,27131903.2,27131903.2,96,5382,5.3,"Franco Amurri","Thora Birch","Franco Amurri"
"1900",1994,"1994-01-14","Iron Will","Walt Disney Pictures","USA","PG","Adventure",0,21006361,0,34870559.26,34870559.26,108,6113,6.5,"Charles Haid","Mackenzie Astin","John Michael Hayes"
"1901",1994,"1996-04-26","Cemetery Man","Audifilm","Italy","R","Comedy",4e+06,253969,6640000,421588.54,-6218411.46,105,17110,7.3,"Michele Soavi","Rupert Everett","Gianni Romoli"
"1902",1994,"1994-03-11","Lightning Jack","Lightning Ridge","USA","PG-13","Comedy",0,16821273,0,27923313.18,27923313.18,98,5541,5.4,"Simon Wincer","Paul Hogan","Paul Hogan"
"1903",1994,"1994-09-23","Terminal Velocity","Hollywood Pictures","USA","PG-13","Action",5e+07,16478900,8.3e+07,27354974,-55645026,102,11352,5.4,"Deran Sarafian","Charlie Sheen","David Twohy"
"1904",1994,"1995-01-27","Highlander: The Final Dimension","Fallingcloud","Canada","PG-13","Action",2.6e+07,13829734,43160000,22957358.44,-20202641.56,99,17307,4.3,"Andrew Morahan","Christopher Lambert","Gregory Widen"
"1907",1994,"1994-03-25","The Paper","Universal Pictures","USA","R","Comedy",6e+06,38824341,9960000,64448406.06,54488406.06,112,11123,6.6,"Ron Howard","Michael Keaton","David Koepp"
"1908",1994,"1994-01-07","Cabin Boy","Touchstone Pictures","USA","PG-13","Adventure",0,3662459,0,6079681.94,6079681.94,80,7171,5.1,"Adam Resnick","Chris Elliott","Chris Elliott"
"1909",1994,"1994-11-02","Sleep with Me","August Entertainment","USA","R","Comedy",0,161410,0,267940.6,267940.6,86,2233,5.7,"Rory Kelly","Craig Sheffer","Duane Dell'Amico"
"1910",1994,"1995-04-21","Burnt by the Sun","Caméra One","Russia","R","Drama",2800000,2616503,4648000,4343394.98,-304605.02,135,11998,8,"Nikita Mikhalkov","Nikita Mikhalkov","Rustam Ibragimbekov"
"1911",1994,"1995-07-14","Sister My Sister","British Screen Productions","UK","R","Drama",0,217881,0,361682.46,361682.46,100,2712,6.9,"Nancy Meckler","Julie Walters","Wendy Kesselman"
"1912",1994,"1994-10-21","Love Affair","Mulholland Productions","USA","PG-13","Comedy",6e+07,18250211,99600000,30295350.26,-69304649.74,108,3922,5.9,"Glenn Gordon Caron","Warren Beatty","Mildred Cram"
"1913",1994,"1994-10-14","I Like It Like That","Columbia Pictures Corporation","USA","R","Comedy",0,1777020,0,2949853.2,2949853.2,104,1290,6.8,"Darnell Martin","Luna Lauren Velez","Darnell Martin"
"1914",1994,"1994-06-17","Getting Even with Dad","Metro-Goldwyn-Mayer (MGM)","USA","PG","Comedy",3e+07,18438164,49800000,30607352.24,-19192647.76,109,6383,4.6,"Howard Deutch","Macaulay Culkin","Tom S. Parker"
"1915",1994,"1994-08-26","Wagons East","Carolco Pictures","USA","PG-13","Adventure",0,4358940,0,7235840.4,7235840.4,107,4191,4.7,"Peter Markle","John Candy","Matthew Carlson"
"1916",1994,"1994-06-29","I Love Trouble","Caravan Pictures","USA","PG","Action",4.5e+07,30806194,74700000,51138282.04,-23561717.96,123,10145,5.2,"Charles Shyer","Nick Nolte","Nancy Meyers"
"1917",1994,"1994-01-12","House Party 3","Hudlin Brothers, The","USA","R","Comedy",0,19281235,0,32006850.1,32006850.1,100,2684,4.1,"Eric Meza","Christopher Reid","Reginald Hudlin"
"1918",1994,"1994-04-08","Leprechaun 2","Planet Productions","USA","R","Comedy",2e+06,2260622,3320000,3752632.52,432632.52,85,6778,4.4,"Rodman Flender","Warwick Davis","Mark Jones"
"1919",1994,"1994-08-19","Blankman","Columbia Pictures Corporation","USA","PG-13","Comedy",0,7892208,0,13101065.28,13101065.28,92,7048,4.8,"Mike Binder","Damon Wayans","Damon Wayans"
"1920",1994,"1995-05-26","Death Machine","Entertainment Film Distributors","UK","R","Action",0,1422749,0,2361763.34,2361763.34,99,3032,5.7,"Stephen Norrington","Brad Dourif","Stephen Norrington"
"1921",1994,"1995-03-24","Priest","British Broadcasting Corporation (BBC)","UK","R","Drama",0,4176932,0,6933707.12,6933707.12,105,8634,7.1,"Antonia Bird","Linus Roache","Jimmy McGovern"
"1922",1994,"1994-05-13","Trading Mom","First Look International","USA","PG","Comedy",0,319123,0,529744.18,529744.18,100,1451,5.5,"Tia Brelis","Sissy Spacek","Nancy Brelis"
"1923",1994,"1994-04-15","Backbeat","Channel Four Films","UK","R","Biography",0,2392599,0,3971714.34,3971714.34,100,5047,6.7,"Iain Softley","Stephen Dorff","Iain Softley"
"1924",1994,"1994-09-17","Ashes of Time","Jet Tone Production","Hong Kong","R","Action",0,173526,0,288053.16,288053.16,100,10951,7.2,"Kar-Wai Wong","Brigitte Lin","Louis Cha"
"1925",1994,"1994-09-30","The Scout","Santo Domingo Film & Music Video","USA","PG-13","Comedy",0,2667163,0,4427490.58,4427490.58,101,5255,5.3,"Michael Ritchie","Albert Brooks","Roger Angell"
"1926",1994,"1995-02-03","The Secret of Roan Inish","Jones Entertainment Group","USA","PG","Drama",3e+06,6101600,4980000,10128656,5148656,103,6305,7.5,"John Sayles","Jeni Courtney","Rosalie K. Fry"
"1927",1994,"1994-04-15","Cops and Robbersons","TriStar Pictures","USA","PG","Comedy",0,11384038,0,18897503.08,18897503.08,93,5507,5,"Michael Ritchie","Chevy Chase","Bernie Somers"
"1928",1994,"1994-11-23","Mrs. Parker and the Vicious Circle","Fine Line Features","USA","R","Biography",7e+06,2144667,11620000,3560147.22,-8059852.78,125,3789,6.4,"Alan Rudolph","Jennifer Jason Leigh","Alan Rudolph"
"1929",1994,"1995-09-29","War of the Buttons","Enigma Productions","UK","PG","Adventure",0,12712,0,21101.92,21101.92,94,3452,7.5,"John Roberts","Gregg Fitzgerald","Louis Pergaud"
"1930",1994,"1994-03-11","Guarding Tess","Channel Films","USA","PG-13","Comedy",2e+07,27053498,33200000,44908806.68,11708806.68,96,13526,6.2,"Hugh Wilson","Shirley MacLaine","Hugh Wilson"
"1931",1994,"1994-03-04","China Moon","Tig Productions","USA","R","Crime",1.5e+07,3038499,24900000,5043908.34,-19856091.66,99,4508,6.2,"John Bailey","Ed Harris","Roy Carlson"
"1932",1994,"1994-05-06","Being Human","Warner Bros.","UK","PG-13","Comedy",3e+07,1519366,49800000,2522147.56,-47277852.44,122,3439,5.4,"Bill Forsyth","Robin Williams","Bill Forsyth"
"1933",1994,"1995-05-26","A Pure Formality","Cecchi Gori Group Tiger Cinematografica","Italy","PG-13","Crime",0,202458,0,336080.28,336080.28,108,7749,7.8,"Giuseppe Tornatore","Gérard Depardieu","Giuseppe Tornatore"
"1934",1994,"1994-01-07","The Air Up There","Hollywood Pictures","USA","PG","Comedy",17080000,21011500,28352800,34879090,6526290,107,7663,5.5,"Paul Michael Glaser","Kevin Bacon","Max Apple"
"1935",1994,"1994-09-09","Rapa Nui","Majestic Films International","USA","R","Action",2e+07,305070,33200000,506416.2,-32693583.8,107,4075,6.4,"Kevin Reynolds","Jason Scott Lee","Kevin Reynolds"
"1936",1994,"1994-12-02","Trapped in Paradise","Permut Presentations","USA","PG-13","Adventure",0,5777916,0,9591340.56,9591340.56,111,10599,5.9,"George Gallo","Nicolas Cage","George Gallo"
